id,Группа изделий,Подгруппа изделий,"λб.с.г·10^6, 1/ч",Кх
0,Фотоприемники транзисторные (фототранзисторы),,"0,0055","0,17" 
1,Фотоприемники диодные (фотодиоды),,"0,004","0,032" 
2,Оптопары диодные единичные,,"0,0025","0,058" 
3,Оптопары транзисторные единичные (включая пару Дарлингтона),,"0,013","0,058" 
4,Оптопары резисторные единичные,,"0,0064","0,015" 
5,Оптопары диодные двоичные,,"0,0033","0,058" 
6,Оптопары транзисторные двоичные (включая пару Дарлингтона),,"0,017","0,058" 
7,Оптопары резисторные двоичные,,"0,0086","0,015" 
8,Излучающие диоды инфракрасного диапазона,,"0,0013","0,031" 
9,Светоизлучающие диоды,,"0,00023","0,031" 
10,Сегментные дисплеи,,"Значение интенсивности отказов λб.с.г вычисляется по формуле: λб.с.г = 0,00043·С + λic, где С – количество разрядов дисплея; λic = 0,000043 – для дисплеев с логическим чипом; λic = 0 – для дисплеев без логического чипа.","0,05" 
11,Дисплеи с диодной матрицей,,"Значение интенсивности отказов λб.с.г вычисляется по формуле: λб.с.г = 0,00009 + 0,00017·С + λic, где С – количество разрядов дисплея; λic = 0,000043 – для дисплеев с логическим чипом; λic = 0 – для дисплеев без логического чипа.","0,05" 
12,Лазерные диоды по материалу,GaAs / AlGaAs,"3,23","0,05" 
13,Лазерные диоды по материалу,InGaAs / InGaAsP,"5,65","0,05"