Группа изделий,Подгруппа изделий,"d, шт.","λб.с.г⋅10^6, 1/ч","dх, шт.","λх.с.г⋅10^8, 1/ч",Кх,"Распределение отказов по видам / Внезапные / Пробойдиэлектрика (КЗ), %","Распределение отказов по видам / Внезапные / Обрыв (потеря емкости), %","Распределение отказов по видам / Постепенные / Уход за норму ТУ / ΔC/C0, %","Распределение отказов по видам / Постепенные / Уход за норму ТУ / tgδ, %","Распределение отказов по видам / Постепенные / Уход за норму ТУ / Rиз (τс, Iут), %",Кпр / Приемка / 5 (ВП),Кпр / Приемка / 9 (ОС),Кз
Керамические на номинальное напряжение менее 1600 В,,46,"0,0207",11,"0,0118","0,0057",39,2,8,18,33,1,"0,3","1,3"
Керамические на номинальное напряжение 1600 В и выше,,8,"0,029",11,"0,0118","0,0041",85,85,15,15,15,1,"0,3","1,3"
Тонкопленочные с неорганическим диэлектриком,,0,"0,003",11,"0,0118","0,039",,,,,,1,"0,3","1,3"
Стеклянные,,0,"0,003",11,"0,0118","0,039",,,,,,1,"0,3","1,3"
Слюдяные,,6,"0,04",11,"0,0118","0,003",65,65,35,35,35,1,"0,3","1,3"
Бумажные,,1,"0,0186",0,"0,08","0,0043",55,,45,45,45,1,"0,3","1,3" 
Оксидно-электролитические,,89,"0,173",3,"0,033","0,0019",46,28,16,6,4,1,"0,3","1,3"
Оксидно-электролитические импульсные,,0,"0,8⋅10^(–8) 1/имп.",3,"0,033",,,,,,,1,"0,3","1,3"
Объемно-пористые,,15,"0,09",3,"0,033","0,0037",35,9,29,18,9,1,"0,3","1,3"
Оксидно-полупроводниковые,,55,"0,064",3,"0,033","0,005",18,1,17,5,59,1,"0,3","1,3"
С органическим синтетическим диэлектриком,полистирольные,5,"0,041",9,"0,0633","0,0154",69,6,5,4,16,1,"0,3","1,3" 
С органическим синтетическим диэлектриком,фторопластовые,4,"0,0107",9,"0,0633","0,059",69,6,5,4,16,1,"0,3","1,3" 
С органическим синтетическим диэлектриком,полиэтилентерефталатные низковольтные,19,"0,039",9,"0,0633","0,016",69,6,5,4,16,1,"0,3","1,3" 
С органическим синтетическим диэлектриком,полиэтилентерефталатные высоковольтные,14,"0,85",9,"0,0633","0,00074",69,6,5,4,16,1,"0,3","1,3" 
С органическим синтетическим диэлектриком,комбинированные низковольтные,10,"0,065",9,"0,0633","0,0097",69,6,5,4,16,1,"0,3","1,3" 
С органическим синтетическим диэлектриком,комбинированные высоковольтные постоянного напряжения,23,"0,4",9,"0,0633","0,0016",69,6,5,4,16,1,"0,3","1,3" 
С органическим синтетическим диэлектриком,комбинированные высоковольтные импульсные,4,"0,125·10^(-8) 1/имп.",9,"0,0633",,69,6,5,4,16,1,"0,3","1,3" 
С органическим синтетическим диэлектриком,поликарбонатные и полипропиленовые,4,"0,011",9,"0,0633","0,0575",69,6,5,4,16,1,"0,3","1,3"
"Подстроечные с твердым диэлектриком",,2,"0,0104",1,"0,071","0,0683",,,,,,1,"0,3","1,3" 
Подстроечные воздушные,,7,"0,04",1,"0,071","0,0177",,,,,,1,"0,3","1,3"
Конденсаторы и фильтры помехоподавляющие,,3,"0,011",1,"0,01","0,0091",,,,,,1,"0,3","1,3"
Сборки на основе конденсаторов,,,,0,"0,008",,,,,,,1,"0,3","1,3"